task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_incorrect_first_token,control_logits_incorrect,control_logits_deltas_incorrect,control_mean_logprob_correct,control_mean_logprob_incorrect,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_incorrect,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_incorrect,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,8.056427,7516,[-10.178977966308594],[-40.23813247680664],39843,"[-13.676183700561523, 5.958396911621094]","[-44.54121398925781, -7.503020286560059]",-10.904449,-7.834424,incorrect,False,-10.904449,-15.668848,correct,True,-10.904449,-14.401655,correct,True,9.070545,959,[-2.9513602256774902],[-17.453399658203125],18653,"[-6.207941055297852, 4.555251598358154]","[-19.748886108398438, -16.24440574645996]",-8.70945,-6.861681,incorrect,False,-8.70945,-13.723362,correct,True,-8.70945,-11.966032,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,6.652897,7739,[-13.911706924438477],[-11.042339324951172],37500,"[-17.860361099243164, 6.144819259643555]","[-20.232812881469727, 0.016073480248451233]",-11.477747,-8.036026,incorrect,False,-11.477747,-16.072052,correct,True,-11.477747,-15.426401,correct,True,8.489664,2274,[-5.82718563079834],[-7.942303657531738],24025,"[-9.102802276611328, 2.753836154937744]","[-9.716302871704102, -2.297856569290161]",-9.5877495,-7.2329283,incorrect,False,-9.5877495,-14.465857,correct,True,-9.5877495,-12.863367,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,6.9082694,3979,[-14.138557434082031],[-11.454360008239746],36694,"[-19.266521453857422, 6.214290142059326]","[-10.828047752380371, -17.092748641967773]",-10.623731,-8.103145,incorrect,False,-10.623731,-16.20629,correct,True,-10.623731,-15.751695,correct,True,8.875684,1231,[-7.1146345138549805],[-8.005813598632812],15602,"[-9.5011625289917, 2.6598961353302]","[-8.993741989135742, -16.250459671020508]",-9.187493,-6.644783,incorrect,False,-9.187493,-13.289566,correct,True,-9.187493,-11.574021,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,7.0771017,2739,[-14.62098503112793],[-23.569265365600586],27169,"[-19.531234741210938, 4.235850811004639]","[-26.796411514282227, -23.584346771240234]",-10.122643,-7.796727,incorrect,False,-10.122643,-15.593454,correct,True,-10.122643,-15.032894,correct,True,9.657358,1359,[-7.898394584655762],[-8.295100212097168],6886,"[-9.075543403625488, 0.2625483572483063]","[-9.521932601928711, -17.131832122802734]",-9.449181,-6.2792616,incorrect,False,-9.449181,-12.558523,correct,True,-9.449181,-10.626329,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,7.250573,1082,[-16.726341247558594],[-15.382823944091797],19936,"[-21.922155380249023, 2.035106658935547]","[-20.65748405456543, -34.930458068847656]",-8.970753,-7.3940816,incorrect,False,-8.970753,-14.788163,correct,True,-8.970753,-14.166567,correct,True,9.602335,1370,[-7.910445213317871],[-8.2618408203125],6865,"[-9.099896430969238, -0.9988289475440979]","[-9.49743366241455, -21.044836044311523]",-9.450584,-6.1947975,incorrect,False,-9.450584,-12.389595,correct,True,-9.450584,-10.640036,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,7.1711855,1013,[-17.469446182250977],[-11.969388961791992],19913,"[-23.209423065185547, -0.6911274194717407]","[-19.018598556518555, -33.074161529541016]",-8.884632,-7.7206116,incorrect,False,-8.884632,-15.441223,correct,True,-8.884632,-14.624609,correct,True,9.594729,1369,[-7.923426628112793],[-9.360420227050781],6848,"[-9.11471176147461, -2.0274953842163086]","[-10.721277236938477, -11.961904525756836]",-9.449651,-6.401147,incorrect,False,-9.449651,-12.802294,correct,True,-9.449651,-10.640936,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,7.1694818,536,[-17.397411346435547],[-13.103851318359375],18330,"[-23.830184936523438, -3.0954532623291016]","[-14.343871116638184, -20.529224395751953]",-8.108109,-7.797967,incorrect,False,-8.108109,-15.595934,correct,True,-8.108109,-14.540883,correct,True,9.584676,1376,[-7.954322814941406],[-10.850240707397461],6875,"[-9.14941692352295, -2.332122325897217]","[-12.359758377075195, 1.0024960041046143]",-9.45163,-6.3097925,incorrect,False,-9.45163,-12.619585,correct,True,-9.45163,-10.646723,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,6.4991293,339,[-17.627836227416992],[-23.804201126098633],12661,"[-23.74618911743164, -4.343315124511719]","[-14.768616676330566, -12.61191177368164]",-7.7227545,-7.341276,incorrect,False,-7.7227545,-14.682552,correct,True,-7.7227545,-13.841107,correct,True,9.579432,1382,[-7.985830307006836],[-14.214908599853516],6961,"[-9.18439769744873, -1.7230473756790161]","[-15.224383354187012, -22.486209869384766]",-9.457874,-6.017976,incorrect,False,-9.457874,-12.035952,correct,True,-9.457874,-10.656443,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,6.2677817,454,[-19.991811752319336],[-5.800392150878906],7243,"[-24.53097915649414, -4.675454139709473]","[-12.33980655670166, -16.927629470825195]",-8.165711,-6.7320056,incorrect,False,-8.165711,-13.464011,correct,True,-8.165711,-12.704879,correct,True,9.574177,1393,[-8.029149055480957],[-32.59557342529297],6998,"[-9.226624488830566, -3.1660704612731934]","[-35.04136657714844, -19.90909194946289]",-9.463693,-6.0389843,incorrect,False,-9.463693,-12.077969,correct,True,-9.463693,-10.661168,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,5.7801833,287,[-19.000783920288086],[-20.71878433227539],8043,"[-24.56241226196289, -5.567019462585449]","[-21.341440200805664, -25.346187591552734]",-7.7692947,-7.3431087,incorrect,False,-7.7692947,-14.686217,correct,True,-7.7692947,-13.330923,correct,True,9.567939,1406,[-8.084142684936523],[-25.956443786621094],7058,"[-9.285006523132324, -4.079026699066162]","[-27.56949234008789, -15.140470504760742]",-9.468372,-6.109792,incorrect,False,-9.468372,-12.219584,correct,True,-9.468372,-10.669235,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,10,6.081982,133,[-21.51544761657715],[-24.577905654907227],5399,"[-27.112455368041992, -7.5721001625061035]","[-25.843027114868164, -4.944891929626465]",-6.7099814,-7.0194755,correct,True,-6.7099814,-14.038951,correct,True,-6.7099814,-12.30699,correct,True,9.564144,1414,[-8.127228736877441],[-26.662342071533203],7131,"[-9.329863548278809, -4.681262493133545]","[-28.351415634155273, -0.7525505423545837]",-9.4751005,-5.966139,incorrect,False,-9.4751005,-11.932278,correct,True,-9.4751005,-10.677735,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,11,5.9862804,244,[-24.32809829711914],[-9.783577919006348],6362,"[-30.062419891357422, -7.13840913772583]","[-6.704948902130127, -9.965392112731934]",-7.4069467,-7.6389933,correct,True,-7.4069467,-15.277987,correct,True,-7.4069467,-13.141268,correct,True,9.557255,1419,[-8.175402641296387],[-19.96078109741211],7181,"[-9.381196975708008, -4.002328395843506]","[-20.699081420898438, 2.7138454914093018]",-9.478041,-5.8687315,incorrect,False,-9.478041,-11.737463,correct,True,-9.478041,-10.683835,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,12,5.0343904,140,[-23.649276733398438],[-6.314543724060059],2247,"[-28.32963752746582, -7.2855072021484375]","[-18.055559158325195, -9.675085067749023]",-6.937261,-6.508207,incorrect,False,-6.937261,-13.016414,correct,True,-6.937261,-11.617621,correct,True,9.552728,1432,[-8.21347713470459],[-15.542182922363281],7227,"[-9.42002010345459, -2.9665560722351074]","[-16.614791870117188, -0.3073432743549347]",-9.483474,-5.720594,incorrect,False,-9.483474,-11.441188,correct,True,-9.483474,-10.690017,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,13,3.8891075,24,[-22.771575927734375],[-12.711174964904785],2176,"[-29.292861938476562, -7.416369915008545]","[-13.632712364196777, 8.434980392456055]",-5.498026,-6.8020053,correct,True,-5.498026,-13.604011,correct,True,-5.498026,-12.019312,correct,True,9.547213,1443,[-8.245132446289062],[-18.479206085205078],7276,"[-9.453908920288086, -2.242501735687256]","[-19.804786682128906, 4.742618560791016]",-9.4878235,-5.6870823,incorrect,False,-9.4878235,-11.374165,correct,True,-9.4878235,-10.6966,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,14,4.092454,9,[-23.046409606933594],[-12.07471752166748],1156,"[-29.429410934448242, -4.921581268310547]","[-26.94158935546875, -11.034735679626465]",-4.484883,-6.296536,correct,True,-4.484883,-12.593072,correct,True,-4.484883,-10.867885,correct,True,9.537181,1453,[-8.301600456237793],[-20.282609939575195],7358,"[-9.514732360839844, -0.7340853810310364]","[-20.73442840576172, -7.42259407043457]",-9.493862,-5.5838304,incorrect,False,-9.493862,-11.167661,correct,True,-9.493862,-10.706994,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,15,4.251854,2,[-22.693401336669922],[3.141812562942505],1215,"[-31.835054397583008, -5.408397674560547]","[-4.857242584228516, -5.206301212310791]",-2.0025597,-5.9326634,correct,True,-2.0025597,-11.865327,correct,True,-2.0025597,-11.144213,correct,True,9.530852,1469,[-8.36507797241211],[-21.29044532775879],7390,"[-9.577715873718262, -0.926889955997467]","[-22.586706161499023, -11.221855163574219]",-9.4993515,-5.533185,incorrect,False,-9.4993515,-11.06637,correct,True,-9.4993515,-10.711989,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,16,1.9588548,1,[-19.05447006225586],[-1.1213033199310303],269,"[-28.889013290405273, -5.007148265838623]","[-7.262221813201904, -35.06258010864258]",-0.7826297,-5.70729,correct,True,-0.7826297,-11.41458,correct,True,-0.7826297,-10.617173,correct,True,9.520409,1478,[-8.428910255432129],[-23.350852966308594],7496,"[-9.645692825317383, -1.6165530681610107]","[-23.62462615966797, -20.11576271057129]",-9.506603,-5.4811263,incorrect,False,-9.506603,-10.962253,correct,True,-9.506603,-10.723385,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,17,1.2678164,1,[-16.338285446166992],[-9.102182388305664],104,"[-26.24448013305664, -9.155885696411133]","[-14.763190269470215, -6.132850170135498]",-0.40193042,-5.591651,correct,True,-0.40193042,-11.183302,correct,True,-0.40193042,-10.3081255,correct,True,9.5138645,1494,[-8.507292747497559],[-25.92970848083496],7566,"[-9.723520278930664, -3.5719425678253174]","[-27.404457092285156, -12.896411895751953]",-9.516489,-5.5050516,incorrect,False,-9.516489,-11.010103,correct,True,-9.516489,-10.7327175,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,18,1.3499895,1,[-15.543201446533203],[-9.234501838684082],86,"[-25.236364364624023, -8.668084144592285]","[-20.702129364013672, -28.859012603759766]",-0.55169755,-5.9182534,correct,True,-0.55169755,-11.836507,correct,True,-0.55169755,-10.244861,correct,True,9.507085,1506,[-8.610589981079102],[-26.723522186279297],7680,"[-9.834498405456543, -4.6625518798828125]","[-26.94167137145996, -12.190553665161133]",-9.521345,-5.5650434,incorrect,False,-9.521345,-11.130087,correct,True,-9.521345,-10.745254,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,19,0.816721,1,[-14.70100212097168],[-39.990787506103516],73,"[-25.236351013183594, -12.583630561828613]","[-51.58084487915039, -44.54437255859375]",-0.22739437,-6.166447,correct,True,-0.22739437,-12.332894,correct,True,-0.22739437,-10.762743,correct,True,9.499403,1514,[-8.763490676879883],[-37.116127014160156],7748,"[-9.98976993560791, -5.789202690124512]","[-38.64809799194336, -61.932403564453125]",-9.526752,-5.5496907,incorrect,False,-9.526752,-11.099381,correct,True,-9.526752,-10.753031,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,20,0.9460765,1,[-19.603837966918945],[-57.3023681640625],86,"[-30.853946685791016, -17.73967933654785]","[-61.707122802734375, -22.305015563964844]",-0.2945194,-6.218334,correct,True,-0.2945194,-12.436668,correct,True,-0.2945194,-11.544628,correct,True,9.480644,1522,[-9.12420654296875],[-39.12446975708008],7895,"[-10.370624542236328, -13.6719331741333]","[-39.76560592651367, -50.319217681884766]",-9.526419,-5.5158024,incorrect,False,-9.526419,-11.031605,correct,True,-9.526419,-10.772837,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,21,1.0670626,1,[-30.92612648010254],[-73.39500427246094],89,"[-40.73450469970703, -19.328357696533203]","[-74.81316375732422, -49.325435638427734]",-0.24761581,-5.3677993,correct,True,-0.24761581,-10.735599,correct,True,-0.24761581,-10.055994,correct,True,9.466374,1545,[-9.742913246154785],[-9.543252944946289],8129,"[-11.004984855651855, -21.006763458251953]","[-9.492412567138672, -52.923282623291016]",-9.532915,-5.561111,incorrect,False,-9.532915,-11.122222,correct,True,-9.532915,-10.794987,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,22,2.3960752,1,[-45.03030014038086],[-131.6957550048828],99,"[-52.589481353759766, -28.241853713989258]","[-129.0695343017578, 54.103614807128906]",-0.50220376,-4.1469803,correct,True,-0.50220376,-8.293961,correct,True,-0.50220376,-8.061385,correct,True,9.297271,1768,[-12.639409065246582],[-7.880346775054932],10567,"[-14.073029518127441, -30.11253547668457]","[-7.483652114868164, 42.578033447265625]",-9.600136,-5.6181836,incorrect,False,-9.600136,-11.236367,correct,True,-9.600136,-11.033755,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,23,5.2747,1,[-82.81446838378906],,142,"[-88.47634887695312, -4.9546942710876465]",,-1.4849396,-3.6578465,correct,True,-1.4849396,-7.315693,correct,True,-1.4849396,-7.14682,correct,True,6.571516,27721,[-55.894508361816406],,37857,"[-56.982601165771484, -13.589226722717285]",,-16.21321,-8.777422,incorrect,False,-16.21321,-17.554844,correct,True,-16.21321,-17.301302,correct,True,An
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,0,8.142584,42305,[-13.42587947845459],[-40.89982604980469],26937,[-11.656232833862305],[-38.3556022644043],-14.7312,-12.961553,incorrect,False,-14.7312,-12.961553,incorrect,False,-14.7312,-12.961553,incorrect,False,9.069691,21812,[-7.691274642944336],[-15.71253776550293],6990,[-6.014557361602783],[-13.268088340759277],-12.238705,-10.561987,incorrect,False,-12.238705,-10.561987,incorrect,False,-12.238705,-10.561987,incorrect,False,A
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,1,6.5564184,36812,[-17.30699348449707],[-8.89022159576416],21025,[-15.274568557739258],[-8.27142333984375],-15.375995,-13.34357,incorrect,False,-15.375995,-13.34357,incorrect,False,-15.375995,-13.34357,incorrect,False,8.74093,15349,[-9.710840225219727],[-9.664767265319824],3075,[-7.767338275909424],[-8.368731498718262],-11.773995,-9.830494,incorrect,False,-11.773995,-9.830494,incorrect,False,-11.773995,-9.830494,incorrect,False,A
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,2,6.799802,26498,[-16.950742721557617],[-11.215085983276367],11844,[-14.96589183807373],[-9.990184783935547],-14.246498,-12.261648,incorrect,False,-14.246498,-12.261648,incorrect,False,-14.246498,-12.261648,incorrect,False,9.018006,11908,[-9.692721366882324],[-9.790630340576172],1954,[-8.133960723876953],[-8.637107849121094],-11.197499,-9.638739,incorrect,False,-11.197499,-9.638739,incorrect,False,-11.197499,-9.638739,incorrect,False,A
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,3,7.276888,13630,[-17.070159912109375],[-40.73469161987305],4299,[-15.013087272644043],[-33.3603515625],-12.716729,-10.6596575,incorrect,False,-12.716729,-10.6596575,incorrect,False,-12.716729,-10.6596575,incorrect,False,9.651174,19859,[-9.823616981506348],[-10.074889183044434],3098,[-8.579473495483398],[-8.770214080810547],-11.307383,-10.06324,incorrect,False,-11.307383,-10.06324,incorrect,False,-11.307383,-10.06324,incorrect,False,A
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,4,7.440321,12404,[-21.298171997070312],[-16.323366165161133],2129,[-18.3175106048584],[-11.85436725616455],-12.707844,-9.727182,incorrect,False,-12.707844,-9.727182,incorrect,False,-12.707844,-9.727182,incorrect,False,9.602428,19693,[-9.84212875366211],[-10.379077911376953],3092,[-8.587508201599121],[-9.088970184326172],-11.322779,-10.068159,incorrect,False,-11.322779,-10.068159,incorrect,False,-11.322779,-10.068159,incorrect,False,A
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,5,7.417874,12061,[-21.673988342285156],[-13.222631454467773],1631,[-18.20391845703125],[-14.401968955993652],-12.883629,-9.413559,incorrect,False,-12.883629,-9.413559,incorrect,False,-12.883629,-9.413559,incorrect,False,9.597291,19808,[-9.864049911499023],[-11.285246849060059],3119,[-8.607953071594238],[-10.043160438537598],-11.329796,-10.073699,incorrect,False,-11.329796,-10.073699,incorrect,False,-11.329796,-10.073699,incorrect,False,A
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,6,7.2863092,7398,[-21.62344741821289],[-6.10683012008667],1097,[-18.526039123535156],[0.36762261390686035],-12.010965,-8.913557,incorrect,False,-12.010965,-8.913557,incorrect,False,-12.010965,-8.913557,incorrect,False,9.58946,19873,[-9.896889686584473],[-13.795391082763672],3143,[-8.641030311584473],[-12.248836517333984],-11.336536,-10.080677,incorrect,False,-11.336536,-10.080677,incorrect,False,-11.336536,-10.080677,incorrect,False,A
