task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,8.525898,9759,"[-0.04556644707918167, 3.276219606399536, 0.5705520510673523]","[1.4503189325332642, 4.091618537902832, 2.0021719932556152]",726,[2.125483512878418],[0.4711310565471649],-9.8696785,-8.7283125,incorrect,False,-29.609035,-8.7283125,incorrect,False,-10.899363,-8.7283125,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,8.707923,5979,"[0.8215950727462769, 4.539571285247803, 1.7850191593170166]","[-0.06865259259939194, 0.6638140678405762, 5.246697902679443]",1531,[2.0543458461761475],[1.3282105922698975],-9.120779,-9.112954,incorrect,False,-27.362337,-9.112954,incorrect,False,-10.345705,-9.112954,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,8.910153,7842,"[0.5538358092308044, 4.0214738845825195, 5.0254716873168945]","[-0.7557361125946045, 2.252941608428955, 2.4220802783966064]",1529,[2.107581377029419],[2.7286651134490967],-8.498241,-9.049567,correct,True,-25.494724,-9.049567,incorrect,False,-10.603313,-9.049567,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,8.740408,10766,"[0.09479756653308868, 4.0168962478637695, 5.200898170471191]","[3.402170181274414, -0.5450801253318787, -0.8983693718910217]",636,[2.780503511428833],[0.7164833545684814],-8.571162,-8.43304,incorrect,False,-25.713486,-8.43304,incorrect,False,-11.118745,-8.43304,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,8.615051,1382,"[2.3526527881622314, 2.972048759460449, 3.485543966293335]","[1.356981873512268, -4.1593170166015625, -0.5744056105613708]",1509,[2.267688751220703],[0.23185929656028748],-8.821732,-9.006706,correct,True,-26.465195,-9.006706,incorrect,False,-8.9217415,-9.006706,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,8.7602825,1225,"[2.6096084117889404, 0.5381208658218384, 2.5467004776000977]","[-1.026347279548645, 1.9800232648849487, 0.3158402442932129]",2596,[1.930812954902649],[-0.26310670375823975],-10.002028,-9.479536,incorrect,False,-30.006084,-9.479536,incorrect,False,-8.80074,-9.479536,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,8.729624,3784,"[1.737014889717102, 1.535664677619934, 2.2689504623413086]","[2.707817554473877, 0.49952611327171326, 0.08448813110589981]",4564,[1.5293149948120117],[-0.2535097599029541],-10.142385,-10.112853,incorrect,False,-30.427153,-10.112853,incorrect,False,-9.905153,-10.112853,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,8.584311,1128,"[2.827040910720825, 1.5858759880065918, 1.9015306234359741]","[-1.345658302307129, -0.9811170697212219, -0.5039020776748657]",5911,[1.1827170848846436],[-0.09176945686340332],-9.841067,-10.433525,correct,True,-29.523203,-10.433525,incorrect,False,-8.789201,-10.433525,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,8.195177,4317,"[1.7865487337112427, 0.8197617530822754, 1.4065712690353394]","[0.17501792311668396, 0.9740736484527588, -1.2567602396011353]",7998,[0.9974806308746338],[2.318108558654785],-10.737465,-10.960131,correct,True,-32.212395,-10.960131,incorrect,False,-10.171062,-10.960131,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,8.055754,6788,"[1.6167415380477905, 1.2154037952423096, 0.8046514987945557]","[1.8176511526107788, -1.6390776634216309, -0.47218483686447144]",4441,[2.1437339782714844],[2.0047948360443115],-10.907795,-10.29175,incorrect,False,-32.723385,-10.29175,incorrect,False,-10.818743,-10.29175,incorrect,False
