task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,9.488478,19181,[1.1692509651184082],[1.328235149383545],71553,[-0.9680710434913635],[-0.33871662616729736],-11.705027,-13.842349,correct,True,-11.705027,-13.842349,correct,True,-11.705027,-13.842349,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,9.583593,25863,[1.6051472425460815],[-0.6914068460464478],87872,[-0.8011371493339539],[-0.4002303183078766],-12.117055,-14.523339,correct,True,-12.117055,-14.523339,correct,True,-12.117055,-14.523339,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,9.2945385,52680,[0.7185981273651123],[-0.2659040093421936],92934,[-0.7892282009124756],[0.2579771876335144],-13.347548,-14.855374,correct,True,-13.347548,-14.855374,correct,True,-13.347548,-14.855374,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,9.32287,65122,[0.3623964190483093],[-2.157759189605713],85647,[-0.41875264048576355],[1.6129510402679443],-13.883572,-14.664721,correct,True,-13.883572,-14.664721,correct,True,-13.883572,-14.664721,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,9.282802,94907,[-0.9915668964385986],[1.909318208694458],52928,[0.6277772188186646],[2.7076146602630615],-15.030302,-13.410958,incorrect,False,-15.030302,-13.410958,incorrect,False,-15.030302,-13.410958,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,9.4701,68369,[0.27931028604507446],[1.3714540004730225],23982,[2.123215675354004],[0.755730390548706],-13.933027,-12.089123,incorrect,False,-13.933027,-12.089123,incorrect,False,-13.933027,-12.089123,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,9.418879,44457,[1.0894832611083984],[0.5599449872970581],21152,[2.246936798095703],[-0.20472146570682526],-13.148151,-11.990698,incorrect,False,-13.148151,-11.990698,incorrect,False,-13.148151,-11.990698,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,9.532089,30100,[1.3278000354766846],[-0.06985878944396973],19491,[1.9339478015899658],[-0.9559788703918457],-12.437183,-11.831036,incorrect,False,-12.437183,-11.831036,incorrect,False,-12.437183,-11.831036,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,9.495861,40721,[1.1441415548324585],[1.440983772277832],40394,[1.1570489406585693],[-2.088096857070923],-12.93413,-12.921222,incorrect,False,-12.93413,-12.921222,incorrect,False,-12.93413,-12.921222,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,9.613248,20808,[1.9107352495193481],[0.18277353048324585],65801,[-0.0733349472284317],[-3.078784227371216],-11.909256,-13.893326,correct,True,-11.909256,-13.893326,correct,True,-11.909256,-13.893326,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",10,9.428269,23634,[1.830936074256897],[0.645637571811676],108238,[-1.8478968143463135],[0.005912723019719124],-12.150063,-15.828896,correct,True,-12.150063,-15.828896,correct,True,-12.150063,-15.828896,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",11,9.458679,23945,[2.106832504272461],[0.4028668701648712],110767,[-1.7302906513214111],[1.1888387203216553],-12.161831,-15.998954,correct,True,-12.161831,-15.998954,correct,True,-12.161831,-15.998954,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",12,9.248791,19942,[2.1666324138641357],[0.6175186038017273],92604,[-0.8855136036872864],[1.7678357362747192],-11.931938,-14.984084,correct,True,-11.931938,-14.984084,correct,True,-11.931938,-14.984084,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",13,9.378426,15171,[2.4506571292877197],[-2.4242680072784424],64632,[0.12684936821460724],[1.592261552810669],-11.588453,-13.912261,correct,True,-11.588453,-13.912261,correct,True,-11.588453,-13.912261,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",14,8.289823,35889,[0.8807579874992371],[0.8057987689971924],33272,[1.001953363418579],[-1.9093635082244873],-12.971375,-12.850181,incorrect,False,-12.971375,-12.850181,incorrect,False,-12.971375,-12.850181,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",15,6.8003497,30675,[1.2340917587280273],[7.893304824829102],65217,[-0.20345087349414825],[4.7486042976379395],-13.017595,-14.455137,correct,True,-13.017595,-14.455137,correct,True,-13.017595,-14.455137,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",16,7.354105,805,[5.12900972366333],[8.42081069946289],15518,[2.2613654136657715],[3.6017277240753174],-9.102073,-11.969717,correct,True,-9.102073,-11.969717,correct,True,-9.102073,-11.969717,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",17,3.0268373,9,[8.367289543151855],[3.0646615028381348],3198,[3.6370162963867188],[1.8868906497955322],-6.599934,-11.330208,correct,True,-6.599934,-11.330208,correct,True,-6.599934,-11.330208,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",18,0.7898442,13,[8.733478546142578],[5.667174816131592],2008,[4.005151271820068],[6.339269161224365],-7.910352,-12.638679,correct,True,-7.910352,-12.638679,correct,True,-7.910352,-12.638679,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",19,0.50142497,8,[9.90980339050293],[7.712331295013428],176,[5.856799602508545],[3.265502691268921],-7.231621,-11.284624,correct,True,-7.231621,-11.284624,correct,True,-7.231621,-11.284624,correct,True
