task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_incorrect_first_token,control_logits_incorrect,control_logits_deltas_incorrect,control_mean_logprob_correct,control_mean_logprob_incorrect,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_incorrect,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_incorrect,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,4.946507,18886,[0.0029156540986150503],[3.0909671783447266],4205,[3.110272169113159],[-1.302632212638855],-15.294069,-12.186712,incorrect,False,-15.294069,-12.186712,incorrect,False,-15.294069,-12.186712,incorrect,False,6.084934,31797,[-0.18507446348667145],[-3.461413860321045],13633,[1.663665533065796],[-4.213150978088379],-15.367385,-13.518644,incorrect,False,-15.367385,-13.518644,incorrect,False,-15.367385,-13.518644,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,5.7279096,6029,[2.33508563041687],[4.061498641967773],13507,[0.8778944611549377],[3.932887315750122],-12.26638,-13.723572,correct,True,-12.26638,-13.723572,correct,True,-12.26638,-13.723572,correct,True,8.693248,78749,[-3.4282655715942383],[-3.1572868824005127],97915,[-4.125611782073975],[-2.636284351348877],-15.04884,-15.746185,correct,True,-15.04884,-15.746185,correct,True,-15.04884,-15.746185,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,6.2222333,2351,[3.840750217437744],[0.9435427188873291],4528,[2.805929183959961],[-0.370353639125824],-10.67329,-11.708112,correct,True,-10.67329,-11.708112,correct,True,-10.67329,-11.708112,correct,True,8.688803,79725,[-3.4533627033233643],[-3.92757248878479],98754,[-4.14650297164917],[-4.75590705871582],-15.087957,-15.781097,correct,True,-15.087957,-15.781097,correct,True,-15.087957,-15.781097,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,4.152253,2572,[3.718040704727173],[-0.15139296650886536],5914,[2.279421091079712],[5.372941017150879],-11.66774,-13.1063595,correct,True,-11.66774,-13.1063595,correct,True,-11.66774,-13.1063595,correct,True,8.511988,83058,[-3.5676941871643066],[-3.3678982257843018],102528,[-4.290252685546875],[-3.023315906524658],-15.428871,-16.151428,correct,True,-15.428871,-16.151428,correct,True,-15.428871,-16.151428,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,5.564556,3351,[3.3667542934417725],[2.2374038696289062],1697,[4.405883312225342],[0.7189375162124634],-11.427185,-10.388057,incorrect,False,-11.427185,-10.388057,incorrect,False,-11.427185,-10.388057,incorrect,False,8.473892,84591,[-3.575967311859131],[-1.7627679109573364],102707,[-4.249125957489014],[-2.2379748821258545],-15.520824,-16.193983,correct,True,-15.520824,-16.193983,correct,True,-15.520824,-16.193983,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,6.660343,2394,[3.9243996143341064],[-0.13560673594474792],2130,[4.096755027770996],[-1.0810413360595703],-10.481447,-10.309092,incorrect,False,-10.481447,-10.309092,incorrect,False,-10.481447,-10.309092,incorrect,False,8.476463,84436,[-3.5705008506774902],[0.4609660506248474],102629,[-4.244525909423828],[4.274875640869141],-15.516376,-16.1904,correct,True,-15.516376,-16.1904,correct,True,-15.516376,-16.1904,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,6.1694098,3545,[3.6403110027313232],[-2.3206946849823],4069,[3.428846597671509],[0.7326561212539673],-11.222361,-11.4338255,correct,True,-11.222361,-11.4338255,correct,True,-11.222361,-11.4338255,correct,True,8.471804,83655,[-3.524920701980591],[-2.782386541366577],100088,[-4.125431537628174],[0.047345176339149475],-15.487585,-16.088097,correct,True,-15.487585,-16.088097,correct,True,-15.487585,-16.088097,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,5.613309,4986,[2.874770402908325],[-4.365237236022949],2758,[3.820249557495117],[2.1645240783691406],-12.024371,-11.078892,incorrect,False,-12.024371,-11.078892,incorrect,False,-12.024371,-11.078892,incorrect,False,8.461424,84374,[-3.5324583053588867],[-2.07877516746521],99206,[-4.06892728805542],[5.47512674331665],-15.530081,-16.06655,correct,True,-15.530081,-16.06655,correct,True,-15.530081,-16.06655,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,6.032157,18545,[1.047492265701294],[4.1720991134643555],2851,[4.335641860961914],[5.312282562255859],-14.212308,-10.924158,incorrect,False,-14.212308,-10.924158,incorrect,False,-14.212308,-10.924158,incorrect,False,8.469477,84563,[-3.535543918609619],[1.8340682983398438],97247,[-3.988269567489624],[5.988004684448242],-15.53363,-15.986357,correct,True,-15.53363,-15.986357,correct,True,-15.53363,-15.986357,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,5.485095,6826,[2.60688853263855],[5.244235515594482],626,[5.988185405731201],[10.492557525634766],-12.4557495,-9.074452,incorrect,False,-12.4557495,-9.074452,incorrect,False,-12.4557495,-9.074452,incorrect,False,8.469648,83974,[-3.5028421878814697],[3.475835084915161],95658,[-3.914093255996704],[2.4511616230010986],-15.50202,-15.913271,correct,True,-15.50202,-15.913271,correct,True,-15.50202,-15.913271,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,10,5.731323,2090,[4.2855048179626465],[1.246113896369934],28,[9.323556900024414],[2.9639642238616943],-10.490889,-5.452836,incorrect,False,-10.490889,-5.452836,incorrect,False,-10.490889,-5.452836,incorrect,False,8.456587,83295,[-3.4716036319732666],[0.5647919178009033],95163,[-3.889275550842285],[-0.5310991406440735],-15.490936,-15.908609,correct,True,-15.490936,-15.908609,correct,True,-15.490936,-15.908609,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,11,4.275939,2423,[4.471606254577637],[3.6422336101531982],28,[9.81390380859375],[0.8649741411209106],-11.215373,-5.873075,incorrect,False,-11.215373,-5.873075,incorrect,False,-11.215373,-5.873075,incorrect,False,8.477954,82760,[-3.4624361991882324],[0.8336837291717529],94954,[-3.888157606124878],[-0.8518335223197937],-15.460766,-15.886488,correct,True,-15.460766,-15.886488,correct,True,-15.460766,-15.886488,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,12,1.7334461,1868,[5.297079563140869],[15.920167922973633],79,[9.28585147857666],[4.274144172668457],-12.038352,-8.04958,incorrect,False,-12.038352,-8.04958,incorrect,False,-12.038352,-8.04958,incorrect,False,8.478703,82954,[-3.4519991874694824],[-0.8070479035377502],95525,[-3.8935179710388184],[2.3065290451049805],-15.471378,-15.912897,correct,True,-15.471378,-15.912897,correct,True,-15.471378,-15.912897,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,13,4.08499,10,[11.012985229492188],[11.161227226257324],49,[9.447924613952637],[12.034866333007812],-4.8723125,-6.437373,correct,True,-4.8723125,-6.437373,correct,True,-4.8723125,-6.437373,correct,True,8.476901,83577,[-3.4575552940368652],[-0.7349834442138672],95283,[-3.869936466217041],[6.116225719451904],-15.49889,-15.911272,correct,True,-15.49889,-15.911272,correct,True,-15.49889,-15.911272,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,14,2.129267,4,[14.029497146606445],[20.713438034057617],8,[13.127023696899414],[9.70112133026123],-3.607183,-4.5096564,correct,True,-3.607183,-4.5096564,correct,True,-3.607183,-4.5096564,correct,True,8.572546,84309,[-3.470353841781616],[2.1827876567840576],92618,[-3.7624168395996094],[4.847279071807861],-15.443234,-15.735297,correct,True,-15.443234,-15.735297,correct,True,-15.443234,-15.735297,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,15,0.68864334,1,[22.34865379333496],[5.016482830047607],16,[14.804437637329102],[-1.8067703247070312],-0.17012301,-7.7143393,correct,True,-0.17012301,-7.7143393,correct,True,-0.17012301,-7.7143393,correct,True,8.688503,82274,[-3.432201385498047],[2.995145320892334],88926,[-3.665501832962036],[3.630537271499634],-15.272547,-15.505846,correct,True,-15.272547,-15.505846,correct,True,-15.272547,-15.505846,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,16,0.23532444,1,[22.244226455688477],[0.007089318707585335],39,[11.70388412475586],[3.302877187728882],-0.04353841,-10.58388,correct,True,-0.04353841,-10.58388,correct,True,-0.04353841,-10.58388,correct,True,7.775179,96352,[-3.4315030574798584],[3.753990888595581],71164,[-2.484678030014038],[0.9913209676742554],-16.52106,-15.574236,incorrect,False,-16.52106,-15.574236,incorrect,False,-16.52106,-15.574236,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,17,2.7093284,1,[14.277597427368164],,17,[9.656332015991211],,-0.5671693,-5.1884346,correct,True,-0.5671693,-5.1884346,correct,True,-0.5671693,-5.1884346,correct,True,2.7372923,8032,[-1.4466291666030884],,71911,[-4.509310722351074],,-12.416169,-15.47885,correct,True,-12.416169,-15.47885,correct,True,-12.416169,-15.47885,correct,True,An
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,0,4.9011073,22598,[-0.4064406156539917],[0.8319103121757507],5077,[2.8127801418304443],[3.0350239276885986],-15.736879,-12.517658,incorrect,False,-15.736879,-12.517658,incorrect,False,-15.736879,-12.517658,incorrect,False,5.916483,31178,[-0.5482333302497864],[-4.264791965484619],1959,[4.8812665939331055],[-3.5954954624176025],-15.909918,-10.480417,incorrect,False,-15.909918,-10.480417,incorrect,False,-15.909918,-10.480417,incorrect,False,A
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,1,5.8776817,17542,[0.3785863518714905],[8.52451229095459],2050,[3.9993088245391846],[9.149657249450684],-14.141752,-10.52103,incorrect,False,-14.141752,-10.52103,incorrect,False,-14.141752,-10.52103,incorrect,False,8.845822,98363,[-4.226180553436279],[-1.3309367895126343],76123,[-3.420468330383301],[-3.796447277069092],-15.678377,-14.872665,incorrect,False,-15.678377,-14.872665,incorrect,False,-15.678377,-14.872665,incorrect,False,A
animals,2,Atypical,bat,mammal,bird,0.7777777778,A bat is a type of,What kind of animal is a bat?,A bat is a type of,2,6.1365485,1337,[4.9916486740112305],[-1.1972568035125732],145,[7.748648643493652],[-1.7804968357086182],-9.835606,-7.078606,incorrect,False,-9.835606,-7.078606,incorrect,False,-9.835606,-7.078606,incorrect,False,8.840407,98905,[-4.236957550048828],[-4.1772780418396],77316,[-3.451296806335449],[-2.079498529434204],-15.703808,-14.918148,incorrect,False,-15.703808,-14.918148,incorrect,False,-15.703808,-14.918148,incorrect,False,A
