task,item_id,entity_type,entity,correct,intuitive,intuitive_2,question,prefix,population_correct,population_intuitive,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_intuitive_first_token,logits_intuitive,logits_deltas_intuitive,mean_logprob_correct,mean_logprob_intuitive,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_intuitive,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_intuitive,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_intuitive_first_token,control_logits_intuitive,control_logits_deltas_intuitive,control_mean_logprob_correct,control_mean_logprob_intuitive,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_intuitive,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_intuitive,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,5.74401,13849,"[-0.007059828378260136, 4.30681848526001, 1.6902672052383423]","[-1.143757700920105, 2.0442049503326416, -0.2342604547739029]",14797,[-0.09014366567134857],[0.3184937536716461],-9.60673,-11.626726,correct,True,-28.82019,-11.626726,intuitive,False,-11.543643,-11.626726,correct,True,8.823871,4891,"[1.777611494064331, 3.901677370071411, 1.4577312469482422]","[0.6849400997161865, 1.6858301162719727, 0.03493805602192879]",27167,[-1.136290431022644],[-0.6242493987083435],-9.432354,-13.031534,correct,True,-28.297062,-13.031534,intuitive,False,-10.117632,-13.031534,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,5.566649,17602,"[-0.5840269923210144, 3.9858803749084473, 0.8386895060539246]","[3.0222156047821045, 1.3813151121139526, 4.470189094543457]",10523,[0.09324900805950165],[0.860503077507019],-10.2875,-11.376591,correct,True,-30.862501,-11.376591,intuitive,False,-12.053865,-11.376591,intuitive,False,8.450949,4096,"[1.5277801752090454, 3.516134023666382, 0.8904703855514526]","[-0.10181456804275513, 0.2575088143348694, 4.713315486907959]",24266,[-1.085105538368225],[2.088473081588745],-9.723094,-12.627708,correct,True,-29.169283,-12.627708,intuitive,False,-10.014822,-12.627708,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,9.280845,2925,"[1.2848563194274902, 3.5480096340179443, 3.8188130855560303]","[-0.6323099136352539, -0.08424562960863113, 0.05788382887840271]",7556,[0.5355755090713501],[2.455348014831543],-8.585602,-10.3475685,correct,True,-25.756805,-10.3475685,intuitive,False,-9.598288,-10.3475685,correct,True,8.443717,11393,"[1.014884114265442, 2.688140392303467, 4.084420204162598]","[-0.37052246928215027, 0.4604233205318451, 0.07589446008205414]",17901,[0.28066977858543396],[-0.16056980192661285],-9.3390665,-11.833592,correct,True,-28.0172,-11.833592,intuitive,False,-11.099379,-11.833592,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,9.413379,11060,"[0.5777835845947266, 2.3801958560943604, 2.789419412612915]","[-0.6938697099685669, 2.0394957065582275, -1.7775872945785522]",2886,[1.780924677848816],[-0.23151153326034546],-9.3703375,-9.540897,correct,True,-28.111013,-9.540897,intuitive,False,-10.744039,-9.540897,intuitive,False,8.994111,16345,"[0.5378624200820923, 2.0953848361968994, 3.150606155395508]","[1.5008450746536255, 0.8713335394859314, -0.23515374958515167]",20089,[0.1188625916838646],[-1.6691287755966187],-9.886858,-11.971642,correct,True,-29.660574,-11.971642,intuitive,False,-11.552641,-11.971642,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,9.237487,14528,"[0.014525871723890305, 2.9234538078308105, 1.446653962135315]","[3.8095180988311768, -2.2722008228302, 0.9611325263977051]",5286,[1.2018049955368042],[2.4280364513397217],-9.99863,-10.051544,correct,True,-29.995888,-10.051544,intuitive,False,-11.238824,-10.051544,intuitive,False,8.756826,10319,"[1.1017481088638306, 2.1669864654541016, 2.4713642597198486]","[-0.9107292890548706, -0.9089249968528748, 0.33884140849113464]",25134,[-0.6543103456497192],[-0.04408247023820877],-10.01427,-12.628339,correct,True,-30.04281,-12.628339,intuitive,False,-10.87228,-12.628339,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,9.0046425,1093,"[2.516507387161255, 1.1952295303344727, 1.6534454822540283]","[1.7696243524551392, 0.2001979649066925, 1.9248641729354858]",1219,[2.4314961433410645],[0.8862587213516235],-9.7656355,-8.9025,intuitive,False,-29.296906,-8.9025,intuitive,False,-8.817489,-8.9025,correct,True,8.708358,15084,"[0.5351194143295288, 1.3205517530441284, 2.176999807357788]","[0.1414949595928192, -0.07370880246162415, 1.6543052196502686]",24219,[-0.5698701739311218],[0.9880666136741638],-10.776349,-12.582075,correct,True,-32.32905,-12.582075,intuitive,False,-11.477087,-12.582075,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,9.032054,531,"[3.0933902263641357, 1.1582365036010742, 2.22223162651062]","[1.9895744323730469, -0.1830325722694397, -1.10662043094635]",1189,[2.5471625328063965],[-0.5460543036460876],-9.582692,-8.877868,intuitive,False,-28.748077,-8.877868,intuitive,False,-8.33164,-8.877868,correct,True,8.24922,17504,"[0.4883715510368347, 1.1598668098449707, 2.5183639526367188]","[0.3390054404735565, 0.27802789211273193, -1.2696384191513062]",21651,[-0.014743641950190067],[1.4739831686019897],-10.832169,-12.413288,correct,True,-32.496506,-12.413288,intuitive,False,-11.910173,-12.413288,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,8.958581,196,"[3.7807016372680664, 0.9575543403625488, 1.4724724292755127]","[2.433911085128784, -1.343648076057434, -0.26179009675979614]",2015,[2.0582492351531982],[3.7237000465393066],-9.63548,-9.316364,intuitive,False,-28.906439,-9.316364,intuitive,False,-7.593912,-9.316364,correct,True,8.592886,16951,"[0.5630183815956116, 1.1198458671569824, 1.639902949333191]","[1.7160083055496216, -2.7942802906036377, 0.27290400862693787]",16733,[0.5882932543754578],[-0.4075486958026886],-11.196069,-11.726937,correct,True,-33.588207,-11.726937,intuitive,False,-11.752212,-11.726937,intuitive,False,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,8.916541,39,"[4.466729640960693, 0.20906445384025574, 1.235581398010254]","[-0.3919934034347534, -1.408515453338623, -0.4585353434085846]",121,[3.633937120437622],[0.7487213015556335],-9.408085,-7.29636,intuitive,False,-28.224255,-7.29636,intuitive,False,-6.4635673,-7.29636,correct,True,8.913144,8612,"[1.1332547664642334, -0.23056304454803467, 1.5791680812835693]","[1.439802885055542, 1.9854466915130615, -1.3991107940673828]",15150,[0.36687934398651123],[0.5831871628761292],-11.320686,-11.428215,correct,True,-33.96206,-11.428215,intuitive,False,-10.6618395,-11.428215,correct,True,The capital
capitals-recall,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,9.037008,67,"[3.8965682983398438, -0.45419251918792725, 0.9142187237739563]","[1.5430949926376343, 0.20580090582370758, 0.2708211839199066]",95,[3.6492629051208496],[-0.043243229389190674],-9.8415575,-7.225393,intuitive,False,-29.524673,-7.225393,intuitive,False,-6.978087,-7.225393,correct,True,8.826144,6788,"[1.5088986158370972, 0.586868166923523, 0.8952465653419495]","[0.6087021231651306, -0.7052499055862427, -0.02565508522093296]",14696,[0.5290716290473938],[0.1205274909734726],-11.135188,-11.388559,correct,True,-33.405563,-11.388559,intuitive,False,-10.408733,-11.388559,correct,True,The capital
