task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_incorrect_first_token,control_logits_incorrect,control_logits_deltas_incorrect,control_mean_logprob_correct,control_mean_logprob_incorrect,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_incorrect,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_incorrect,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,10.09994,5989,[2.306154251098633],[0.8032580614089966],20888,"[1.1050039529800415, 8.984109878540039]","[1.0203365087509155, -0.060024045407772064]",-10.374298,-7.0037985,incorrect,False,-10.374298,-14.007597,correct,True,-10.374298,-11.575449,correct,True,9.324449,9371,[0.7120956182479858],[-1.3815882205963135],1111,"[2.6517677307128906, 9.208775520324707]","[1.8530572652816772, 0.19385066628456116]",-10.994797,-5.5837107,incorrect,False,-10.994797,-11.167421,correct,True,-10.994797,-9.055124,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,9.771259,10743,[1.8148490190505981],[3.0950355529785156],16542,"[1.3489437103271484, 9.000249862670898]","[3.4315903186798096, -1.0427967309951782]",-10.98065,-6.822577,incorrect,False,-10.98065,-13.645154,correct,True,-10.98065,-11.446554,correct,True,9.443351,31796,[0.06653278321027756],[-3.7101476192474365],1260,"[3.409966230392456, 9.10135269165039]","[-3.962283134460449, 1.58878755569458]",-12.467707,-5.895296,incorrect,False,-12.467707,-11.790592,incorrect,False,-12.467707,-9.124273,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,9.508039,12798,[3.0114564895629883],[0.04056217893958092],14435,"[2.8776957988739014, 8.651403427124023]","[-0.8793933987617493, 4.402431964874268]",-11.239681,-6.8286066,incorrect,False,-11.239681,-13.657213,correct,True,-11.239681,-11.373441,correct,True,9.566036,52791,[-1.2077275514602661],[0.21074651181697845],3162,"[2.1872191429138184, 9.262494087219238]","[1.1382800340652466, 0.6297063827514648]",-13.302687,-6.323828,incorrect,False,-13.302687,-12.647656,incorrect,False,-13.302687,-9.907738,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,9.6926365,16806,[2.529512405395508],[0.47438111901283264],25594,"[2.0020065307617188, 9.904119491577148]","[0.030808964744210243, 2.0049498081207275]",-11.520751,-6.9897504,incorrect,False,-11.520751,-13.979501,correct,True,-11.520751,-12.048258,correct,True,9.735277,47998,[-1.1381524801254272],[-1.361033320426941],1224,"[2.7293455600738525, 9.027671813964844]","[-2.808475971221924, -0.6968339681625366]",-12.997014,-6.305274,incorrect,False,-12.997014,-12.610548,incorrect,False,-12.997014,-9.129515,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,9.32461,28010,[2.3330459594726562],[-2.368013620376587],42413,"[1.6754199266433716, 9.955948829650879]","[-0.8886831998825073, -1.1613397598266602]",-12.275305,-7.157584,incorrect,False,-12.275305,-14.315168,correct,True,-12.275305,-12.932934,correct,True,9.8680935,54170,[-1.6944845914840698],[-1.1072988510131836],2340,"[1.8147897720336914, 7.966000080108643]","[-3.5191144943237305, -1.4834312200546265]",-13.151094,-6.469309,incorrect,False,-13.151094,-12.938618,incorrect,False,-13.151094,-9.641819,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,9.663709,50391,[0.9310161471366882],[0.38916289806365967],47449,"[1.054441213607788, 9.10179615020752]","[-3.508660078048706, -2.2671918869018555]",-13.198162,-7.645744,incorrect,False,-13.198162,-15.291488,correct,True,-13.198162,-13.074738,incorrect,False,10.015957,67826,[-2.276697874069214],[2.790867805480957],15510,"[0.031338419765233994, 6.824258327484131]","[-0.773082435131073, -2.098313570022583]",-13.576038,-7.931847,incorrect,False,-13.576038,-15.863694,correct,True,-13.576038,-11.268002,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,9.725745,33004,[1.0376427173614502],[0.08478951454162598],73201,"[-0.7014642953872681, 7.468245029449463]","[-1.5062841176986694, -3.546598434448242]",-12.39009,-9.024528,incorrect,False,-12.39009,-18.049055,correct,True,-12.39009,-14.129196,correct,True,10.310701,68878,[-0.6912107467651367],[-1.3432085514068604],61210,"[-0.39638105034828186, 5.750306129455566]","[-1.979872226715088, -3.3144097328186035]",-13.287656,-9.340654,incorrect,False,-13.287656,-18.681309,correct,True,-13.287656,-12.992826,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,9.782621,27975,[0.9605355262756348],[-0.6923484206199646],79051,"[-1.3351380825042725, 5.486031532287598]","[-2.331040143966675, 0.6369283199310303]",-12.110067,-9.549076,incorrect,False,-12.110067,-19.098152,correct,True,-12.110067,-14.405739,correct,True,10.375532,74025,[-1.1953281164169312],[3.0362234115600586],73223,"[-1.1607112884521484, 4.292520999908447]","[0.6467480063438416, 2.337704658508301]",-13.459145,-10.13839,incorrect,False,-13.459145,-20.27678,correct,True,-13.459145,-13.424527,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,9.867458,33770,[0.5629721283912659],[-0.21529708802700043],90803,"[-2.3099162578582764, 5.309906482696533]","[1.6829057931900024, -0.07798688113689423]",-12.345027,-10.152537,incorrect,False,-12.345027,-20.305075,correct,True,-12.345027,-15.217914,correct,True,10.48595,66016,[-0.13503000140190125],[-2.0396382808685303],83812,"[-0.9008715748786926, 4.861917495727539]","[0.3475523591041565, -0.8471906781196594]",-12.98436,-10.568483,incorrect,False,-12.98436,-21.136967,correct,True,-12.98436,-13.750202,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,9.718206,65870,[0.42483362555503845],[-1.6399784088134766],93009,"[-1.359704852104187, 5.00252103805542]","[-0.43365898728370667, -2.422504425048828]",-13.803997,-10.76797,incorrect,False,-13.803997,-21.53594,correct,True,-13.803997,-15.588531,correct,True,10.572145,70274,[-0.7487328052520752],[0.4752015769481659],70217,"[-0.7463779449462891, 4.510465621948242]","[4.702786445617676, 0.09534908086061478]",-13.0543,-10.244931,incorrect,False,-13.0543,-20.489862,correct,True,-13.0543,-13.051946,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,10,9.745167,64058,[-0.3350130021572113],[1.0908807516098022],85809,"[-1.4874989986419678, 3.967250347137451]","[1.372440218925476, -0.8327171802520752]",-13.65022,-10.823306,incorrect,False,-13.65022,-21.646612,correct,True,-13.65022,-14.802705,correct,True,10.492484,72490,[-0.45263174176216125],[2.3787965774536133],17028,"[1.4697214365005493, 4.446418762207031]","[0.1026625782251358, 1.5793395042419434]",-13.114172,-9.273174,incorrect,False,-13.114172,-18.546349,correct,True,-13.114172,-11.191818,incorrect,False,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,11,9.808727,46413,[0.1502213329076767],[-2.038848400115967],69838,"[-0.8201531171798706, 3.36897611618042]","[-2.9681737422943115, 0.7291159629821777]",-12.883055,-10.808784,incorrect,False,-12.883055,-21.617567,correct,True,-12.883055,-13.853428,correct,True,10.501285,73230,[0.2843087613582611],[1.3855018615722656],34428,"[1.4852923154830933, 4.785089492797852]","[-3.1749672889709473, -2.545682907104492]",-13.043548,-9.349903,incorrect,False,-13.043548,-18.699806,correct,True,-13.043548,-11.842564,incorrect,False,An
