task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,9.852592,28561,[1.4147826433181763],[-0.8608778715133667],40065,[0.9369210600852966],[-2.229691982269287],-12.002374,-12.480235,correct,True,-12.002374,-12.480235,correct,True,-12.002374,-12.480235,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,10.013733,52672,[0.7061449885368347],[-1.4392343759536743],79323,[-0.39744240045547485],[2.872354745864868],-12.852201,-13.95579,correct,True,-12.852201,-13.95579,correct,True,-12.852201,-13.95579,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,10.080339,81433,[-0.2178787887096405],[-0.39377543330192566],47378,[1.234328269958496],[-0.9145457744598389],-14.15308,-12.700874,incorrect,False,-14.15308,-12.700874,incorrect,False,-14.15308,-12.700874,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,10.01457,81272,[-0.370071679353714],[0.22603267431259155],63404,[0.48224586248397827],[-3.3767788410186768],-14.213228,-13.36091,incorrect,False,-14.213228,-13.36091,incorrect,False,-14.213228,-13.36091,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,9.909826,45862,[-0.14126333594322205],[0.7583600878715515],79498,[-1.6665750741958618],[-0.38424888253211975],-12.7973,-14.322613,correct,True,-12.7973,-14.322613,correct,True,-12.7973,-14.322613,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,9.861666,21424,[0.3676190972328186],[-0.28573480248451233],61490,[-1.4307678937911987],[-1.3485060930252075],-11.741657,-13.540044,correct,True,-11.741657,-13.540044,correct,True,-11.741657,-13.540044,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,9.827681,22807,[0.1481160968542099],[1.5169004201889038],70125,[-1.9728444814682007],[-0.5343964695930481],-11.802553,-13.923513,correct,True,-11.802553,-13.923513,correct,True,-11.802553,-13.923513,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,9.83591,10892,[0.9427815079689026],[-4.069655895233154],67917,[-1.9297438859939575],[0.7492339015007019],-10.9666195,-13.839146,correct,True,-10.9666195,-13.839146,correct,True,-10.9666195,-13.839146,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,9.776163,56589,[-1.1354490518569946],[-0.3805946707725525],62703,[-1.399238109588623],[-0.6383189558982849],-13.363556,-13.627344,correct,True,-13.363556,-13.627344,correct,True,-13.363556,-13.627344,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,9.833483,43174,[-1.1597356796264648],[3.2716329097747803],51510,[-1.5134458541870117],[0.5565795302391052],-12.773706,-13.127417,correct,True,-12.773706,-13.127417,correct,True,-12.773706,-13.127417,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,9.737138,12083,[0.45342743396759033],[3.7621350288391113],40833,[-1.1632766723632812],[2.040863275527954],-11.101492,-12.718197,correct,True,-11.101492,-12.718197,correct,True,-11.101492,-12.718197,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,11,9.736166,3579,[2.0066678524017334],[-1.2221647500991821],29416,[-0.24002717435359955],[-2.3071887493133545],-9.951649,-12.198343,correct,True,-9.951649,-12.198343,correct,True,-9.951649,-12.198343,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,12,9.722227,8275,[1.4707000255584717],[0.01694825291633606],55974,[-1.1434013843536377],[-0.38322970271110535],-10.732051,-13.346152,correct,True,-10.732051,-13.346152,correct,True,-10.732051,-13.346152,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,13,9.765962,2451,[1.4537222385406494],[-6.559283256530762],33189,[-1.2695807218551636],[-2.9611387252807617],-9.651997,-12.375299,correct,True,-9.651997,-12.375299,correct,True,-9.651997,-12.375299,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,14,9.660228,11387,[-1.0622458457946777],[0.7446159720420837],31351,[-2.3479197025299072],[-0.18947623670101166],-11.063012,-12.348686,correct,True,-11.063012,-12.348686,correct,True,-11.063012,-12.348686,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,15,9.538286,5308,[-0.7038827538490295],[0.07568477094173431],22202,[-2.252340793609619],[1.514854907989502],-10.350486,-11.898944,correct,True,-10.350486,-11.898944,correct,True,-10.350486,-11.898944,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,16,9.014476,2694,[-0.6116663217544556],[6.6089653968811035],6983,[-1.4597688913345337],[6.048895359039307],-9.878411,-10.726514,correct,True,-9.878411,-10.726514,correct,True,-9.878411,-10.726514,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,17,8.518288,43,[2.260462760925293],[4.944794178009033],112,[1.2652214765548706],[0.8932839632034302],-6.5893807,-7.584622,correct,True,-6.5893807,-7.584622,correct,True,-6.5893807,-7.584622,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,18,7.2316923,27,[3.9161643981933594],[13.195405960083008],287,[1.4911223649978638],[8.072591781616211],-5.990926,-8.415968,correct,True,-5.990926,-8.415968,correct,True,-5.990926,-8.415968,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,19,4.420803,2,[8.457866668701172],[3.9138689041137695],21,[4.359217166900635],[0.8121882677078247],-2.08923,-6.1878796,correct,True,-2.08923,-6.1878796,correct,True,-2.08923,-6.1878796,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,20,3.924995,2,[9.18919563293457],[9.38006591796875],30,[4.334347248077393],[6.806824684143066],-1.9493537,-6.804202,correct,True,-1.9493537,-6.804202,correct,True,-1.9493537,-6.804202,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,21,2.5952091,3,[11.553397178649902],[37.71270751953125],32,[6.249520778656006],[22.209980010986328],-2.0319703,-7.3358464,correct,True,-2.0319703,-7.3358464,correct,True,-2.0319703,-7.3358464,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,22,0.02836787,1,[24.47596549987793],[8.189724922180176],8,[13.936641693115234],[4.689109802246094],-0.0036334468,-10.542957,correct,True,-0.0036334468,-10.542957,correct,True,-0.0036334468,-10.542957,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,23,0.031199045,1,[24.455062866210938],[6.930718898773193],8,[13.932920455932617],[3.303417921066284],-0.0041047614,-10.526247,correct,True,-0.0041047614,-10.526247,correct,True,-0.0041047614,-10.526247,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,24,0.028215075,1,[24.966951370239258],[11.168169975280762],7,[14.037939071655273],[14.6685791015625],-0.004042431,-10.933055,correct,True,-0.004042431,-10.933055,correct,True,-0.004042431,-10.933055,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,25,0.008410915,1,[26.233766555786133],[8.18265151977539],4,[17.416574478149414],[5.316378116607666],-0.0009101063,-8.818102,correct,True,-0.0009101063,-8.818102,correct,True,-0.0009101063,-8.818102,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,26,0.006933932,1,[26.52640151977539],[-1.9052226543426514],4,[17.574932098388672],[-3.845097780227661],-0.00073679956,-8.952207,correct,True,-0.00073679956,-8.952207,correct,True,-0.00073679956,-8.952207,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,27,0.005950355,1,[24.299970626831055],[-9.70662784576416],4,[15.34680461883545],[-7.290297508239746],-0.0006199345,-8.953786,correct,True,-0.0006199345,-8.953786,correct,True,-0.0006199345,-8.953786,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,28,0.00932101,1,[20.678733825683594],[-16.53433609008789],3,[12.738988876342773],[-14.683611869812012],-0.0010240793,-7.940769,correct,True,-0.0010240793,-7.940769,correct,True,-0.0010240793,-7.940769,correct,True
