task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,7.4069643,63308,[-0.31473201513290405],[0.33810147643089294],59277,[-0.13095130026340485],[-1.4390144348144531],-14.59733,-14.413549,incorrect,False,-14.59733,-14.413549,incorrect,False,-14.59733,-14.413549,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,7.967674,43699,[-0.02716907672584057],[3.643643856048584],64265,[-0.9746738076210022],[-0.22759266197681427],-14.35638,-15.303885,correct,True,-14.35638,-15.303885,correct,True,-14.35638,-15.303885,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,7.1324472,21118,[2.234264850616455],[2.428114414215088],71979,[-0.8401336073875427],[-1.5694812536239624],-13.459856,-16.534256,correct,True,-13.459856,-16.534256,correct,True,-13.459856,-16.534256,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,4.7622848,7425,[3.0815181732177734],[-0.6398062109947205],62587,[-1.6160999536514282],[5.993291854858398],-12.675322,-17.37294,correct,True,-12.675322,-17.37294,correct,True,-12.675322,-17.37294,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,5.778908,13006,[2.407392978668213],[-1.2546184062957764],17550,[1.8549633026123047],[1.9767253398895264],-13.29602,-13.84845,correct,True,-13.29602,-13.84845,correct,True,-13.29602,-13.84845,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,5.7892165,25423,[1.6093839406967163],[0.5400053858757019],13842,[2.773169755935669],[-0.37539392709732056],-14.303611,-13.139825,incorrect,False,-14.303611,-13.139825,incorrect,False,-14.303611,-13.139825,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,6.452384,22911,[1.7503060102462769],[-6.522416591644287],16486,[2.3900089263916016],[-4.46542501449585],-13.82438,-13.184677,incorrect,False,-13.82438,-13.184677,incorrect,False,-13.82438,-13.184677,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,6.489941,58561,[-0.9028638601303101],[4.995943546295166],34888,[0.5646675229072571],[0.4876115024089813],-16.262033,-14.794502,incorrect,False,-16.262033,-14.794502,incorrect,False,-16.262033,-14.794502,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,7.568006,28393,[1.2573301792144775],[7.366691589355469],36288,[0.697797417640686],[0.8627069592475891],-13.885458,-14.44499,correct,True,-13.885458,-14.44499,correct,True,-13.885458,-14.44499,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,7.5805397,10017,[3.3110644817352295],[-1.4976826906204224],35816,[0.9407503008842468],[-0.7423645853996277],-12.01573,-14.3860445,correct,True,-12.01573,-14.3860445,correct,True,-12.01573,-14.3860445,correct,True
