task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,8.570722,7766,"[0.11731298267841339, 3.861844301223755, 0.8178114891052246]","[0.9956352114677429, 6.054296016693115, 1.6091017723083496]",156,[3.0024566650390625],[-0.654914140701294],-9.453148,-7.712985,incorrect,False,-28.359444,-7.712985,incorrect,False,-10.598129,-7.712985,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,8.160425,6510,"[0.8191962838172913, 6.143069744110107, 1.7131376266479492]","[-1.8582589626312256, 2.3887789249420166, 5.47514009475708]",1236,[2.3573760986328125],[1.740485429763794],-8.891433,-9.0427265,correct,True,-26.674297,-9.0427265,incorrect,False,-10.580908,-9.0427265,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,8.576497,16144,"[-0.3208489418029785, 5.977007865905762, 5.14389705657959]","[-0.22083869576454163, 2.0522592067718506, 2.232326030731201]",1246,[2.5660934448242188],[2.9553701877593994],-8.436188,-8.980081,correct,True,-25.308563,-8.980081,incorrect,False,-11.867023,-8.980081,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,8.686394,16099,"[-0.34276893734931946, 5.323257923126221, 5.2385125160217285]","[1.4890497922897339, -0.17117911577224731, -1.485941767692566]",485,[3.2396247386932373],[2.775773525238037],-8.609757,-8.247324,incorrect,False,-25.829271,-8.247324,incorrect,False,-11.829718,-8.247324,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,8.613758,6685,"[0.8751633763313293, 4.104011058807373, 3.153733491897583]","[0.5328202247619629, -0.4901483654975891, -0.6183645725250244]",183,[4.068052768707275],[1.2741782665252686],-9.363062,-7.408554,incorrect,False,-28.089186,-7.408554,incorrect,False,-10.601443,-7.408554,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,8.288475,8158,"[0.9991236329078674, 3.118962049484253, 2.2060112953186035]","[-2.6260809898376465, 1.1433193683624268, 0.5013166069984436]",424,[3.930222749710083],[-0.3443877696990967],-10.274867,-8.063778,incorrect,False,-30.8246,-8.063778,incorrect,False,-10.994877,-8.063778,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,8.388072,20629,"[-0.4426950514316559, 3.2003297805786133, 2.0744166374206543]","[-0.953115701675415, 0.384193480014801, -0.5707236528396606]",1393,[3.296358823776245],[0.46470996737480164],-10.867642,-9.040443,incorrect,False,-32.60293,-9.040443,incorrect,False,-12.779496,-9.040443,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,8.288149,23849,"[-0.8824203014373779, 3.105289936065674, 1.4338122606277466]","[1.848815679550171, -3.6920270919799805, 1.0374140739440918]",1822,[3.1602675914764404],[-1.6332502365112305],-11.348637,-9.288496,incorrect,False,-34.04591,-9.288496,incorrect,False,-13.331184,-9.288496,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,8.326242,17825,"[0.14696985483169556, 1.1415226459503174, 1.6514028310775757]","[2.2603671550750732, 1.6202354431152344, -1.5177090167999268]",6180,[1.9438910484313965],[2.6224403381347656],-11.630894,-10.6157055,incorrect,False,-34.89268,-10.6157055,incorrect,False,-12.412627,-10.6157055,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,8.396209,10805,"[1.2668412923812866, 1.7742273807525635, 0.9029383659362793]","[0.5777191519737244, -0.7750464081764221, -0.2082875818014145]",2829,[2.9829177856445312],[2.1583871841430664],-11.203439,-9.714224,incorrect,False,-33.610317,-9.714224,incorrect,False,-11.430302,-9.714224,incorrect,False
