task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,7.849709,32133,[0.29118189215660095],[-3.467026948928833],9498,[2.3576197624206543],[-2.3780086040496826],-13.73563,-11.669192,incorrect,False,-13.73563,-11.669192,incorrect,False,-13.73563,-11.669192,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,7.2542877,74358,[-1.6615147590637207],[2.504516363143921],36190,[0.36063656210899353],[3.0590946674346924],-16.53044,-14.508288,incorrect,False,-16.53044,-14.508288,incorrect,False,-16.53044,-14.508288,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,5.2717257,51709,[0.06447088718414307],[-1.8346022367477417],23306,[1.7838084697723389],[3.282902240753174],-15.969479,-14.250141,incorrect,False,-15.969479,-14.250141,incorrect,False,-15.969479,-14.250141,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,5.469511,50020,[-0.8198063373565674],[3.4772071838378906],7712,[2.831441640853882],[-2.6351699829101562],-16.043163,-12.391914,incorrect,False,-16.043163,-12.391914,incorrect,False,-16.043163,-12.391914,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,5.4719462,38182,[0.5128161907196045],[-1.9452697038650513],22355,[1.6268142461776733],[-3.451369285583496],-15.251999,-14.138001,incorrect,False,-15.251999,-14.138001,incorrect,False,-15.251999,-14.138001,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,5.9045143,60042,[-0.2379479706287384],[-0.859804093837738],51896,[0.20071126520633698],[0.5039360523223877],-16.057386,-15.618727,incorrect,False,-16.057386,-15.618727,incorrect,False,-16.057386,-15.618727,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,6.422989,58263,[-0.5514246821403503],[-1.5612664222717285],39237,[0.382742702960968],[-5.047575950622559],-15.851337,-14.91717,incorrect,False,-15.851337,-14.91717,incorrect,False,-15.851337,-14.91717,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,5.10065,72155,[-1.0393623113632202],[3.915030002593994],76912,[-1.2930958271026611],[6.134529113769531],-17.075525,-17.329258,correct,True,-17.075525,-17.329258,correct,True,-17.075525,-17.329258,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,5.5238953,58948,[0.16443242132663727],[4.286689281463623],51152,[0.5755724310874939],[-1.2874207496643066],-16.296614,-15.885475,incorrect,False,-16.296614,-15.885475,incorrect,False,-16.296614,-15.885475,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,5.769905,28038,[1.6187196969985962],[-4.088261604309082],55041,[0.09807896614074707],[-2.372992753982544],-14.647159,-16.1678,correct,True,-14.647159,-16.1678,correct,True,-14.647159,-16.1678,correct,True
