task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,5.1154222,17512,[-7.592185974121094],[-66.82681274414062],26511,[-8.968575477600098],[-64.46302795410156],-14.543326,-15.919715,correct,True,-14.543326,-15.919715,correct,True,-14.543326,-15.919715,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,6.772714,14960,[-1.3458278179168701],[-13.58912467956543],15319,[-1.3979287147521973],[-13.518280029296875],-13.332073,-13.384174,correct,True,-13.332073,-13.384174,correct,True,-13.332073,-13.384174,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,6.888149,13427,[-2.9012911319732666],[-36.03362274169922],14158,[-3.006441116333008],[-32.99798583984375],-12.999521,-13.1046715,correct,True,-12.999521,-13.1046715,correct,True,-12.999521,-13.1046715,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,6.6645393,13009,[-7.3102335929870605],[8.06806755065918],11901,[-7.132839679718018],[3.6698265075683594],-13.26617,-13.088776,incorrect,False,-13.26617,-13.088776,incorrect,False,-13.26617,-13.088776,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,6.5058985,9164,[-7.360164642333984],[-6.7744903564453125],10724,[-7.65141487121582],[-9.778546333312988],-12.564453,-12.855703,correct,True,-12.564453,-12.855703,correct,True,-12.564453,-12.855703,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,6.0800576,2365,[-8.567270278930664],[-4.315621376037598],4328,[-9.363125801086426],[-3.1670141220092773],-10.5177,-11.313556,correct,True,-10.5177,-11.313556,correct,True,-10.5177,-11.313556,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,6.0518694,1251,[-9.802939414978027],[-10.954172134399414],2282,[-10.559045791625977],[-16.139461517333984],-9.645795,-10.401902,correct,True,-9.645795,-10.401902,correct,True,-9.645795,-10.401902,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,5.6642294,134,[-12.659442901611328],[-18.43130874633789],664,[-14.530113220214844],[-17.779279708862305],-7.25835,-9.129021,correct,True,-7.25835,-9.129021,correct,True,-7.25835,-9.129021,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,5.828556,136,[-19.235610961914062],[-22.966806411743164],263,[-20.047685623168945],[-28.003185272216797],-7.1888,-8.0008745,correct,True,-7.1888,-8.0008745,correct,True,-7.1888,-8.0008745,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,5.3355017,8,[-25.655332565307617],[-72.59810638427734],22,[-27.06905746459961],[-74.07118225097656],-3.7755368,-5.1892614,correct,True,-3.7755368,-5.1892614,correct,True,-3.7755368,-5.1892614,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",10,5.9482336,5,[-50.42330551147461],[-102.07074737548828],11,[-51.472843170166016],[-100.29843139648438],-3.3199208,-4.369458,correct,True,-3.3199208,-4.369458,correct,True,-3.3199208,-4.369458,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",11,6.645604,35,[-103.2730941772461],,31,[-103.09400177001953],,-5.60044,-5.4213476,incorrect,False,-5.60044,-5.4213476,incorrect,False,-5.60044,-5.4213476,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",0,5.1496344,17418,[-7.461127281188965],[-67.40763092041016],26450,[-8.841503143310547],[-64.9859848022461],-14.516998,-15.897373,correct,True,-14.516998,-15.897373,correct,True,-14.516998,-15.897373,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",1,6.7633924,14948,[-1.3726592063903809],[-13.6758451461792],15261,[-1.4177982807159424],[-13.605910301208496],-13.333787,-13.378926,correct,True,-13.333787,-13.378926,correct,True,-13.333787,-13.378926,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",2,6.881693,13463,[-2.9443891048431396],[-35.32379150390625],14152,[-3.04233455657959],[-32.20793914794922],-13.008144,-13.106091,correct,True,-13.008144,-13.106091,correct,True,-13.008144,-13.106091,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",3,6.660715,13014,[-7.306953430175781],[7.600161552429199],11820,[-7.112372398376465],[3.2240853309631348],-13.271408,-13.076826,incorrect,False,-13.271408,-13.076826,incorrect,False,-13.271408,-13.076826,incorrect,False
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",4,6.5010605,9193,[-7.419299125671387],[-7.029301166534424],10640,[-7.689953327178955],[-9.697137832641602],-12.574527,-12.845181,correct,True,-12.574527,-12.845181,correct,True,-12.574527,-12.845181,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",5,6.070345,2480,[-8.652562141418457],[-3.0493340492248535],4235,[-9.376392364501953],[-1.528684139251709],-10.580173,-11.304003,correct,True,-10.580173,-11.304003,correct,True,-10.580173,-11.304003,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",6,6.087818,1378,[-9.753972053527832],[-12.018528938293457],2260,[-10.371695518493652],[-15.59255599975586],-9.763767,-10.381491,correct,True,-9.763767,-10.381491,correct,True,-9.763767,-10.381491,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",7,5.6595173,178,[-12.891921043395996],[-17.378385543823242],593,[-14.26711368560791],[-16.186458587646484],-7.6287413,-9.003934,correct,True,-7.6287413,-9.003934,correct,True,-7.6287413,-9.003934,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",8,5.8917565,163,[-19.094017028808594],[-21.703304290771484],212,[-19.418331146240234],[-25.09042739868164],-7.36435,-7.688664,correct,True,-7.36435,-7.688664,correct,True,-7.36435,-7.688664,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",9,5.3808894,8,[-25.254621505737305],[-72.71532440185547],16,[-25.947738647460938],[-74.38853454589844],-3.870731,-4.5638485,correct,True,-3.870731,-4.5638485,correct,True,-3.870731,-4.5638485,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",10,5.9892344,5,[-50.25165557861328],[-101.99907684326172],11,[-50.95394515991211],[-100.11112976074219],-3.535666,-4.2379556,correct,True,-3.535666,-4.2379556,correct,True,-3.535666,-4.2379556,correct,True
capitals-recognition,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,"The capital of Australia is either Sydney or Canberra. In fact,","The capital of Australia is either Sydney or Canberra. In fact, the capital of Australia is",11,6.672281,39,[-102.97980499267578],,31,[-102.53509521484375],,-5.802094,-5.357384,incorrect,False,-5.802094,-5.357384,incorrect,False,-5.802094,-5.357384,incorrect,False
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,True,"The capital of Brazil is either Brasilia or Rio de Janeiro. In fact,","The capital of Brazil is either Brasilia or Rio de Janeiro. In fact, the capital of Brazil is",0,3.987805,28312,"[-13.48397445678711, 45.80652618408203]","[-60.31756591796875, -75.91178894042969]",22892,"[-12.661788940429688, 19.977245330810547, 4.8929338455200195]","[-59.670631408691406, -41.07212829589844, -52.433326721191406]",-10.016593,-14.2726755,correct,True,-20.033186,-42.818027,correct,True,-16.69672,-15.874536,incorrect,False
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,True,"The capital of Brazil is either Brasilia or Rio de Janeiro. In fact,","The capital of Brazil is either Brasilia or Rio de Janeiro. In fact, the capital of Brazil is",1,6.7527237,16990,"[-2.2068822383880615, 2.0363354682922363]","[-12.286270141601562, -8.022326469421387]",24963,"[-3.1209073066711426, 7.131261825561523, 0.6356062889099121]","[-10.286535263061523, -16.23252296447754, -14.665796279907227]",-9.098834,-8.163638,incorrect,False,-18.197668,-24.490913,correct,True,-13.521612,-14.4356365,correct,True
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,True,"The capital of Brazil is either Brasilia or Rio de Janeiro. In fact,","The capital of Brazil is either Brasilia or Rio de Janeiro. In fact, the capital of Brazil is",2,6.9546814,16420,"[-3.5111746788024902, 1.5747348070144653]","[-16.166990280151367, -11.47647476196289]",20496,"[-4.0174241065979, 3.114626407623291, -1.2575143575668335]","[-18.113616943359375, -18.30730438232422, -24.213748931884766]",-8.66044,-7.748591,incorrect,False,-17.32088,-23.245773,correct,True,-13.333738,-13.839987,correct,True
capitals-recognition,2,country,Brazil,has_competitor,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,True,"The capital of Brazil is either Brasilia or Rio de Janeiro. In fact,","The capital of Brazil is either Brasilia or Rio de Janeiro. In fact, the capital of Brazil is",3,6.700941,12176,"[-6.032157897949219, -0.9007272720336914]","[0.9608259797096252, -10.822620391845703]",16394,"[-6.661435604095459, -0.39051592350006104, -5.340573310852051]","[4.857320308685303, -12.852761268615723, -2.4339752197265625]",-8.815613,-6.6501746,incorrect,False,-17.631226,-19.950523,correct,True,-13.000469,-13.629747,correct,True
