task,item_id,entity_type,entity,correct,incorrect,incorrect_2,question,prefix,population_correct,population_incorrect,population_ratio,condition,correct_first,query,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_incorrect_first_token,control_logits_incorrect,control_logits_deltas_incorrect,control_mean_logprob_correct,control_mean_logprob_incorrect,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_incorrect,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_incorrect,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",0,5.268662e-38,192727,[-9.762651443481445],[10.378100395202637],84696,[-2.3251938819885254],[-5.9086103439331055],-186.23422,-178.79677,incorrect,False,-186.23422,-178.79677,incorrect,False,-186.23422,-178.79677,incorrect,False,2.5450215e-24,4287,[16.2946834564209],[7.732274532318115],41734,[8.270901679992676],[-5.498602390289307],-289.86685,-297.89062,correct,True,-289.86685,-297.89062,correct,True,-289.86685,-297.89062,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",1,8.181659e-20,230467,[-4.041167736053467],[-7.526735305786133],242805,[-6.60875129699707],[-3.8845913410186768],-107.168335,-109.735916,correct,True,-107.168335,-109.735916,correct,True,-107.168335,-109.735916,correct,True,4.929412e-20,8509,[19.75285530090332],[-13.357739448547363],151182,[5.646831035614014],[-8.354472160339355],-257.82706,-271.9331,correct,True,-257.82706,-271.9331,correct,True,-257.82706,-271.9331,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",2,3.724505e-14,221433,[-9.594573020935059],[-4.945733547210693],218654,[-9.269877433776855],[0.18610498309135437],-85.35682,-85.03212,incorrect,False,-85.35682,-85.03212,incorrect,False,-85.35682,-85.03212,incorrect,False,1.2502323e-18,12860,[13.25885009765625],[-5.80246639251709],150509,[1.8119244575500488],[-2.4163808822631836],-231.8599,-243.30682,correct,True,-231.8599,-243.30682,correct,True,-231.8599,-243.30682,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",3,1.3380942e-07,247201,[-13.916234970092773],[-0.5625181198120117],219540,[-9.203263282775879],[-0.32931116223335266],-72.68195,-67.96898,incorrect,False,-72.68195,-67.96898,incorrect,False,-72.68195,-67.96898,incorrect,False,1.8438959e-15,14251,[10.839900016784668],[-5.488920211791992],138858,[0.6343342065811157],[-2.3362884521484375],-215.95618,-226.16174,correct,True,-215.95618,-226.16174,correct,True,-215.95618,-226.16174,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",4,7.343582e-09,206499,[-13.975274085998535],[-5.8452534675598145],149546,[-9.210494995117188],[-0.12908625602722168],-71.787575,-67.0228,incorrect,False,-71.787575,-67.0228,incorrect,False,-71.787575,-67.0228,incorrect,False,7.562976e-15,4276,[8.300872802734375],[-4.153830051422119],61178,[-0.5438578724861145],[0.46968355774879456],-189.6428,-198.48753,correct,True,-189.6428,-198.48753,correct,True,-189.6428,-198.48753,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",5,0.110734135,221108,[-16.960481643676758],[-3.175191640853882],115060,[-8.04179859161377],[-3.7789762020111084],-63.839386,-54.920704,incorrect,False,-63.839386,-54.920704,incorrect,False,-63.839386,-54.920704,incorrect,False,5.161952e-12,4366,[4.396109580993652],[3.612393379211426],20861,[-0.1725418120622635],[6.431499481201172],-167.54729,-172.11594,correct,True,-167.54729,-172.11594,correct,True,-167.54729,-172.11594,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",6,0.08489659,220432,[-17.16913414001465],[-8.789780616760254],128862,[-9.490408897399902],[-3.529935121536255],-58.099854,-50.42113,incorrect,False,-58.099854,-50.42113,incorrect,False,-58.099854,-50.42113,incorrect,False,3.3122444e-10,4472,[5.937777996063232],[-0.41476768255233765],14356,[2.655271291732788],[2.8253560066223145],-142.27469,-145.55719,correct,True,-142.27469,-145.55719,correct,True,-142.27469,-145.55719,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",7,0.00024866048,196969,[-21.455184936523438],[5.90462064743042],95617,[-11.087329864501953],[-1.6204701662063599],-71.48,-61.112152,incorrect,False,-71.48,-61.112152,incorrect,False,-71.48,-61.112152,incorrect,False,5.773452e-10,1932,[5.235316753387451],[3.265880823135376],3675,[3.5992605686187744],[0.29634979367256165],-132.0193,-133.65536,correct,True,-132.0193,-133.65536,correct,True,-132.0193,-133.65536,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",8,4.2015366e-05,183352,[-18.205904006958008],[-5.305823802947998],116698,[-11.614676475524902],[-8.676127433776855],-69.22526,-62.634037,incorrect,False,-69.22526,-62.634037,incorrect,False,-69.22526,-62.634037,incorrect,False,6.707018e-08,1302,[6.171463966369629],[-1.1004650592803955],3497,[3.5659899711608887],[-9.602800369262695],-114.7691,-117.37457,correct,True,-114.7691,-117.37457,correct,True,-114.7691,-117.37457,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",9,0.00034037008,165326,[-18.737422943115234],[-4.107905864715576],122955,[-14.305821418762207],[1.8521913290023804],-66.90074,-62.469135,incorrect,False,-66.90074,-62.469135,incorrect,False,-66.90074,-62.469135,incorrect,False,9.2736605e-07,1697,[5.577441215515137],[4.14231014251709],13077,[0.36440104246139526],[6.711856365203857],-101.63808,-106.85111,correct,True,-101.63808,-106.85111,correct,True,-101.63808,-106.85111,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",10,0.0004952514,213554,[-20.07610511779785],[-2.1450510025024414],137370,[-12.495144844055176],[-7.760356903076172],-59.3986,-51.817642,incorrect,False,-59.3986,-51.817642,incorrect,False,-59.3986,-51.817642,incorrect,False,6.845393e-06,862,[6.7947845458984375],[-9.442618370056152],4111,[3.1477670669555664],[-4.788119792938232],-84.19499,-87.84201,correct,True,-84.19499,-87.84201,correct,True,-84.19499,-87.84201,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",11,0.0025746701,168944,[-18.581798553466797],[-8.100676536560059],132399,[-14.725676536560059],[1.8633575439453125],-59.65257,-55.796448,incorrect,False,-59.65257,-55.796448,incorrect,False,-59.65257,-55.796448,incorrect,False,0.00014504541,3124,[3.5030975341796875],[-6.678989887237549],6777,[1.4866926670074463],[-5.600948333740234],-78.47644,-80.49284,correct,True,-78.47644,-80.49284,correct,True,-78.47644,-80.49284,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",12,0.02066152,172229,[-21.235742568969727],[-4.117459297180176],103134,[-13.42314338684082],[4.602681636810303],-62.11847,-54.30587,incorrect,False,-62.11847,-54.30587,incorrect,False,-62.11847,-54.30587,incorrect,False,0.00014284535,5337,[1.4230562448501587],[-11.34786319732666],9464,[-0.1810297816991806],[-3.2140541076660156],-70.30353,-71.907616,correct,True,-70.30353,-71.907616,correct,True,-70.30353,-71.907616,correct,True,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",13,0.022698663,174068,[-21.693634033203125],[-1.2430527210235596],77754,[-10.700810432434082],[2.5448007583618164],-60.496147,-49.503323,incorrect,False,-60.496147,-49.503323,incorrect,False,-60.496147,-49.503323,incorrect,False,0.0002382021,11957,[-1.5990370512008667],[3.698983907699585],9841,[-1.0259971618652344],[7.321324348449707],-68.441536,-67.8685,incorrect,False,-68.441536,-67.8685,incorrect,False,-68.441536,-67.8685,incorrect,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",14,0.021382717,179084,[-19.77943992614746],[-3.1038856506347656],71169,[-8.483025550842285],[-1.5179283618927002],-55.32922,-44.032806,incorrect,False,-55.32922,-44.032806,incorrect,False,-55.32922,-44.032806,incorrect,False,0.00041721502,10979,[-0.5929624438285828],[0.48454129695892334],6285,[0.9527424573898315],[-1.864868402481079],-63.498356,-61.95265,incorrect,False,-63.498356,-61.95265,incorrect,False,-63.498356,-61.95265,incorrect,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",15,0.06013742,181043,[-17.591867446899414],[17.05556297302246],78884,[-7.626877784729004],[9.979327201843262],-49.316006,-39.351017,incorrect,False,-49.316006,-39.351017,incorrect,False,-49.316006,-39.351017,incorrect,False,0.0016996232,14711,[-0.42892542481422424],[-1.1083978414535522],11432,[0.38252344727516174],[4.495728969573975],-58.624386,-57.81294,incorrect,False,-58.624386,-57.81294,incorrect,False,-58.624386,-57.81294,incorrect,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",16,0.33183736,126518,[-9.736422538757324],[5.756350517272949],55500,[-3.211435079574585],[-0.5410717725753784],-40.185097,-33.660107,incorrect,False,-40.185097,-33.660107,incorrect,False,-40.185097,-33.660107,incorrect,False,0.0006118512,18450,[-0.7597277760505676],[7.55765962600708],8290,[1.7011712789535522],[4.326903343200684],-60.312492,-57.851593,incorrect,False,-60.312492,-57.851593,incorrect,False,-60.312492,-57.851593,incorrect,False,The capital
capitals-recognition,1,country,Australia,Canberra,Sydney,Melbourne,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,correct_first,True,"The capital of Australia is either Canberra or Sydney. In fact,","The capital of Australia is either Canberra or Sydney. In fact, the capital of Australia is",17,0.60991186,118699,[-8.105280876159668],[0.8883573412895203],66521,[-3.7426443099975586],[5.427772521972656],-40.124672,-35.762035,incorrect,False,-40.124672,-35.762035,incorrect,False,-40.124672,-35.762035,incorrect,False,0.00038207168,12361,[1.6596781015396118],[-3.872138261795044],7295,[3.1565983295440674],[-0.527340292930603],-58.998898,-57.50198,incorrect,False,-58.998898,-57.50198,incorrect,False,-58.998898,-57.50198,incorrect,False,The capital
