task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,10.36,70061,[-0.10430908203125],[-0.9755859375],32809,[1.080078125],[0.71923828125],-13.234,-12.055,incorrect,False,-13.234,-12.055,incorrect,False,-13.234,-12.055,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,10.03,101833,[-1.0400390625],[-1.0830078125],29481,[1.6005859375],[-1.80859375],-14.74,-12.1,incorrect,False,-14.74,-12.1,incorrect,False,-14.74,-12.1,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,8.54,108458,[-1.5283203125],[-0.061614990234375],59666,[0.400146484375],[0.1256103515625],-15.36,-13.43,incorrect,False,-15.36,-13.43,incorrect,False,-15.36,-13.43,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,8.04,106187,[-1.4091796875],[0.60498046875],58641,[0.415283203125],[-0.316162109375],-15.33,-13.5,incorrect,False,-15.33,-13.5,incorrect,False,-15.33,-13.5,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,8.84,98770,[-1.109375],[1.466796875],61072,[0.271240234375],[0.9130859375],-14.86,-13.48,incorrect,False,-14.86,-13.48,incorrect,False,-14.86,-13.48,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,9.76,84005,[-0.474365234375],[6.2734375],52228,[0.6123046875],[1.61328125],-14.14,-13.055,incorrect,False,-14.14,-13.055,incorrect,False,-14.14,-13.055,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,9.82,16667,[2.1484375],[-1.728515625],34647,[1.2314453125],[-3.560546875],-11.5,-12.414,correct,True,-11.5,-12.414,correct,True,-11.5,-12.414,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,9.97,34163,[1.1376953125],[1.41015625],81264,[-0.501953125],[-0.59130859375],-12.336,-13.98,correct,True,-12.336,-13.98,correct,True,-12.336,-13.98,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,9.78,23651,[1.62890625],[4.19140625],87155,[-0.70263671875],[0.6875],-11.914,-14.25,correct,True,-11.914,-14.25,correct,True,-11.914,-14.25,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,9.76,3659,[3.44140625],[-0.085693359375],74773,[-0.34228515625],[1.6806640625],-10.06,-13.84,correct,True,-10.06,-13.84,correct,True,-10.06,-13.84,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,10,9.55,3707,[3.251953125],[1.0166015625],48700,[0.368408203125],[0.142333984375],-10.1,-12.984,correct,True,-10.1,-12.984,correct,True,-10.1,-12.984,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,11,9.664,3709,[3.181640625],[-3.552734375],46768,[0.374755859375],[-0.10870361328125],-10.09,-12.9,correct,True,-10.09,-12.9,correct,True,-10.09,-12.9,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,12,9.71,22255,[1.2314453125],[1.8544921875],44114,[0.284423828125],[-0.08721923828125],-11.85,-12.805,correct,True,-11.85,-12.805,correct,True,-11.85,-12.805,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,13,9.78,12958,[1.9599609375],[-1.3681640625],49229,[0.2127685546875],[1.3818359375],-11.23,-12.97,correct,True,-11.23,-12.97,correct,True,-11.23,-12.97,correct,True
