task,item_id,entity_type,entity,condition,correct,incorrect,question,prefix,population_correct,population_incorrect,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,0,5.4564462e-36,201332,[-9.963125228881836],[10.942115783691406],94706,[-3.156771183013916],[-3.29703426361084],-174.45947,-167.65312,incorrect,False,-174.45947,-167.65312,incorrect,False,-174.45947,-167.65312,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,1,3.6178935999999996e-18,226335,[-4.194143295288086],[-6.79180383682251],235505,[-5.749460697174072],[-2.8522708415985107],-104.9544,-106.50971,correct,True,-104.9544,-106.50971,correct,True,-104.9544,-106.50971,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,2,1.0607147e-10,215305,[-8.763528823852539],[-5.902880668640137],202112,[-7.422768592834473],[1.4727822542190552],-77.96156,-76.620804,incorrect,False,-77.96156,-76.620804,incorrect,False,-77.96156,-76.620804,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,3,0.0060024173,246006,[-13.378637313842773],[1.542386770248413],190111,[-6.150094509124756],[-0.7540978789329529],-64.83904,-57.610497,incorrect,False,-64.83904,-57.610497,incorrect,False,-64.83904,-57.610497,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,4,1.3268499e-07,204405,[-11.845843315124512],[-3.074514627456665],131130,[-6.433801174163818],[-3.599964141845703],-62.96335,-57.551304,incorrect,False,-62.96335,-57.551304,incorrect,False,-62.96335,-57.551304,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,5,0.28710154,153346,[-12.064414978027344],[1.157058596611023],98169,[-8.083977699279785],[0.4892769157886505],-54.964706,-50.98427,incorrect,False,-54.964706,-50.98427,incorrect,False,-54.964706,-50.98427,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,6,1.0402213,105344,[-9.83896255493164],[5.7134504318237305],68338,[-6.746006965637207],[6.0940423011779785],-53.472446,-50.37949,incorrect,False,-53.472446,-50.37949,incorrect,False,-53.472446,-50.37949,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,7,0.020194434,37450,[-5.130098819732666],[29.304624557495117],19173,[-2.2744836807250977],[10.980218887329102],-62.13197,-59.276352,incorrect,False,-62.13197,-59.276352,incorrect,False,-62.13197,-59.276352,incorrect,False
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,8,0.015480263,403,[8.733367919921875],[-5.168539524078369],3788,[2.9557323455810547],[-9.691986083984375],-46.02492,-51.80256,correct,True,-46.02492,-51.80256,correct,True,-46.02492,-51.80256,correct,True
capitals-recall,1,country,Australia,has_competitor,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,The capital of Australia is,9,0.35269365,1736,[6.277421474456787],[3.5310938358306885],19412,[-1.2561887502670288],[1.1041028499603271],-36.467583,-44.00119,correct,True,-36.467583,-44.00119,correct,True,-36.467583,-44.00119,correct,True
